time,roll,pitch,yaw
1.9566987412701826542615890502929687500000000000,-34.8732,20.3202,-16.2042
1.9567009401736821979284286499023437500000000000,-35.8512,20.2028,-19.5441
1.9567020738228984177112579345703125000000000000,-36.799,19.9572,-22.871
1.9567041152768999338150024414062500000000000000,-37.6895,19.597,-26.1998
1.9567062077383797615766525268554687500000000000,-38.4965,19.1921,-29.4819
1.9567084095290951430797576904296875000000000000,-39.1645,18.8233,-32.562
1.9567104282703332602977752685546875000000000000,-39.6737,18.5453,-35.4335
1.9567125456260286271572113037109375000000000000,-40.0151,18.3607,-38.1165
1.9567146595812253654003143310546875000000000000,-40.1985,18.1788,-40.6861
1.9567167024788353592157363891601562500000000000,-40.2303,17.9125,-43.3061
1.9567187300100412219762802124023437500000000000,-40.0725,17.5686,-45.966
1.9567198350116610527038574218750000000000000000,-39.7803,17.253,-48.6544
1.9567228463776670396327972412109375000000000000,-39.4422,16.9423,-51.4462
1.9567248736522316932678222656250000000000000000,-39.2079,16.5949,-54.4625
1.9567269070220295339822769165039062500000000000,-39.0366,16.2103,-57.6571
1.9567279221029195934534072875976562500000000000,-38.8224,15.8447,-60.8552
1.9567300702555827796459197998046875000000000000,-38.5881,15.4116,-64.0874
1.9567320949637334793806076049804687500000000000,-38.3948,14.9611,-67.4078
1.9567341310282658785581588745117187500000000000,-38.3266,14.4564,-70.9985
1.9567362475498765707015991210937500000000000000,-38.4933,13.859,-75.1459
1.9567383699742395430803298950195312500000000000,-38.7105,13.5105,-79.4536
1.9567403873681105673313140869140625000000000000,-38.8513,13.57,-83.503
1.9567424142897929996252059936523437500000000000,-38.9282,13.8908,-87.0215
1.9567444152906946837902069091796875000000000000,-39.0286,14.3497,-89.9327
1.9567465161250997334718704223632812500000000000,-39.1452,14.9259,-92.1746
1.9567486326787907630205154418945312500000000000,-39.2775,15.6801,-93.7268
1.9567506527353160083293914794921875000000000000,-39.3478,16.5645,-94.5837
1.9567527951135478913784027099609375000000000000,-39.3262,17.5236,-94.8042
1.9567548321084052324295043945312500000000000000,-39.2898,18.4942,-94.7982
